id,post_id,analysis_kind,status,model,adapter_version,prompt_version,content_level,attempt_count,retry_count,started_at,finished_at,prompt_eval_count,eval_count,total_duration_ns,comments_sent
1,343,triage,failed,qwen3:14b,ollama-adapter-v1,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:40:56.479004Z,2026-08-24T15:41:06.851683Z,,,,
2,344,triage,succeeded,qwen3:14b,ollama-adapter-v1,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:41:06.874083Z,2026-08-24T15:41:12.762549Z,1535,117,5878400013,0
3,343,triage,failed,qwen3:14b,ollama-adapter-v1,taxonomy-v1-ollama-v4-json-schema,feed_card,2,0,2026-08-24T15:42:27.613176Z,2026-08-24T15:42:37.632014Z,,,,
4,343,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,3,0,2026-08-24T15:43:44.235996Z,2026-08-24T15:43:53.495958Z,1280,183,9247293846,0
5,345,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:03.904971Z,2026-08-24T15:45:06.084603Z,1267,124,2168983636,0
6,346,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:06.103500Z,2026-08-24T15:45:08.144448Z,1283,133,2028790370,0
7,347,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:08.163570Z,2026-08-24T15:45:10.215406Z,1284,133,2038485934,0
8,348,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:10.233240Z,2026-08-24T15:45:12.452031Z,1292,145,2190235145,0
9,349,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:12.471552Z,2026-08-24T15:45:14.349974Z,1237,120,1866034872,0
10,350,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:14.371698Z,2026-08-24T15:45:16.667624Z,1252,153,2282842152,0
11,351,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:16.694500Z,2026-08-24T15:45:18.337364Z,1307,103,1632029415,0
12,352,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:18.355044Z,2026-08-24T15:45:20.556165Z,1300,143,2192420260,0
13,353,triage,succeeded,qwen3:14b,ollama-adapter-v2-no-thinking,taxonomy-v1-ollama-v4-json-schema,feed_card,1,0,2026-08-24T15:45:20.574326Z,2026-08-24T15:45:22.306796Z,1238,110,1722756878,0
